"rank"
"KDM5B.AS1",315
"GPRIN1",316
"EXOC6B",317
"GNAL",318
"RASSF9",319
"NFE2L3",320
"ABCC9",321
"IL21R",322
"PIF1",323
"MITF",324
"RPS6KA3",325
"PLCL2",326
"SIGLEC14",327
"CDC25B",328
"OVOL1",329
"SNORD83B",330
"CLCN4",331
"HOXA6",332
"C18orf56",333
"PRKG1",334
"SNORA64",335
"TCP11L2",336
"RAC3",337
"SNORD23",338
"CABYR",339
"ARHGAP10",340
"NAT14",341
"MXD3",342
"SOWAHB",343
"SLC2A6",344
"TRO",345
"C17orf103",346
"METTL7A",347
"GDF10",348
"FANCA",349
"CAMK2N2",350
"MBNL2",351
"ALDH3A2",352
"FAM13A",353
"H2AFX",354
"PRRG1",355
"PAM",356
"GPR84",357
"GALE",358
"ADAMTSL3",359
"SLC2A1",360
"LINC00478",361
"ITGA8",362
"MAP7D3",363
"EPHA10",364
"EFNA4",365
"PYCRL",366
"SAMD4A",367
"PFKFB1",368
"RNFT2",369
"C12orf39",370
"SLC5A8",371
"PVT1",372
"SESN1",373
"C1orf53",374
"FDXR",375
"CBX4",376
"ZAK",377
"C2orf88",378
"EXOSC4",379
"SPIRE2",380
"TEAD1",381
"GPR172A",382
"PPARA",383
"ACOT7",384
"HIST2H2AC",385
"FKBP4",386
"OSCAR",387
"FOXD1",388
"KLF9",389
"CBLC",390
"LRFN1",391
"FBXL6",392
"SNORA16A",393
"TUFT1",394
"PPFIA3",395
"P2RY6",396
"C6orf99",397
"ARHGAP11B",398
"NTHL1",399
"MIR223",400
"TRIB3",401
"MPDZ",402
"HMGA1",403
"EVPL",404
"ITPKA",405
"ADAT3",406
"LAGE3",407
"MIR210HG",408
"MEF2C",409
"MAFG.AS1",410
"ABHD3",411
"DOPEY2",412
"RIBC2",413
"TLN2",414
"ACSM5",415
"CD72",416
"GUCY1A2",417
"SPAG1",418
"NUP210",419
"TUBAL3",420
"E2F5",421
"C14orf80",422
"PTMS",423
"ANKRD13B",424
"CD300LF",425
"ST3GAL6",426
"CD80",427
"NME1",428
"SYNE1",429
"SOX12",430
"LOC100505666",431
"SMYD3",432
"ANGPT1",433
"FAM110A",434
"FOXN3",435
"LRRC45",436
"PPAP2C",437
"KAT2B",438
"RCAN2",439
"ZBED2",440
"HIVEP2",441
"GPR172B",442
"AIM1L",443
"ELF3",444
"RPS10",445
